,Part_number,Target_power_mean,Target_power_std,Print_ID_layer,Position,row,column,Galvo,Xcoor,Ycoor,Zcoor
0,1,14.371928959153253,1.1345693510126744,0_1,1,1,1,1,32.4,36.48,21.01
1,3,14.3095140285309,0.8872579671154539,0_1,3,3,1,1,89.52,36.48,21.01
2,5,14.515857365467454,0.5395826377283799,0_1,5,5,1,1,146.64,36.48,21.01
3,7,13.904217889351141,0.8494910524476248,0_1,7,7,1,1,203.76,36.48,21.01
4,10,15.784255495321586,1.0218822789111601,0_1,10,10,1,2,296.16,36.48,21.01
5,12,14.674454188447218,0.8826733464998308,0_1,12,12,1,2,353.28,36.48,21.01
6,14,13.82320183818463,1.1554318074489638,0_1,14,14,1,2,410.4,36.48,21.01
7,16,15.255557118090422,1.0937395542074309,0_1,16,16,1,2,467.52,36.48,21.01
8,24,12.613381080790383,0.8703920703547078,0_1,24,8,2,1,232.32,65.04,21.01
9,25,13.784888558953106,1.0292795423423222,0_1,25,9,2,2,267.6,65.04,21.01
10,49,11.90806961252911,0.68322937206974,0_1,49,1,4,1,32.4,122.16,21.01
11,51,12.3566450728288,0.7434192848312069,0_1,51,3,4,1,89.52,122.16,21.01
12,53,12.391677412582863,0.5500639972254399,0_1,53,5,4,1,146.64,122.16,21.01
13,55,11.385006081074968,0.8078456085447551,0_1,55,7,4,1,203.76,122.16,21.01
14,58,12.874309414331483,0.6788065942075098,0_1,58,10,4,2,296.16,122.16,21.01
15,60,12.86497348083955,0.5444840465038092,0_1,60,12,4,2,353.28,122.16,21.01
16,62,12.101014730053018,0.8593410841156857,0_1,62,14,4,2,410.4,122.16,21.01
17,64,14.009690444073136,0.6946890652474185,0_1,64,16,4,2,467.52,122.16,21.01
18,84,12.517270850084198,0.39846488453839835,0_1,84,4,6,1,118.08,179.28,21.01
19,88,11.536009443628682,0.6691956111106047,0_1,88,8,6,1,232.32,179.28,21.01
20,89,12.439399039127244,0.636030765222533,0_1,89,9,6,2,267.6,179.28,21.01
21,93,11.823275647510712,0.566041469175607,0_1,93,13,6,2,381.84,179.28,21.01
22,97,12.447313971813246,0.547373306855591,0_1,97,1,7,1,32.4,207.84,21.01
23,99,12.565325751321133,0.7314493213440992,0_1,99,3,7,1,89.52,207.84,21.01
24,101,12.398203889481298,0.5791941058505748,0_1,101,5,7,1,146.64,207.84,21.01
25,103,11.504627821332324,0.7441737470356768,0_1,103,7,7,1,203.76,207.84,21.01
26,106,12.706723479728959,0.8414079005740202,0_1,106,10,7,2,296.16,207.84,21.01
27,108,12.566789304106097,0.6338519366378936,0_1,108,12,7,2,353.28,207.84,21.01
28,110,12.359550549546919,0.6445469135682127,0_1,110,14,7,2,410.4,207.84,21.01
29,112,14.318352937527516,0.8537333816356397,0_1,112,16,7,2,467.52,207.84,21.01
30,136,12.111203592930627,0.5452087844044394,0_1,136,8,9,1,232.32,264.96,21.01
31,137,13.25868687928155,0.8272304851128675,0_1,137,9,9,2,267.6,264.96,21.01
32,145,14.738859872250302,1.006739032830519,0_1,145,1,10,1,32.4,293.52,21.01
33,147,14.28296048567083,1.0522050638368077,0_1,147,3,10,1,89.52,293.52,21.01
34,149,14.87178448033716,1.008556029684862,0_1,149,5,10,1,146.64,293.52,21.01
35,151,14.24169408294324,0.8970147966718227,0_1,151,7,10,1,203.76,293.52,21.01
36,154,14.932307326816792,1.0916346632709493,0_1,154,10,10,2,296.16,293.52,21.01
37,156,14.535039367783089,1.105390844809399,0_1,156,12,10,2,353.28,293.52,21.01
38,158,14.117307915822707,1.0424078215125785,0_1,158,14,10,2,410.4,293.52,21.01
39,160,16.575066108048414,1.8108209197684093,0_1,0,16,10,2,467.52,293.52,21.01
40,161,13.524307492593973,1.5196555416411652,0_2,1,1,1,1,32.4,36.48,49.01
41,163,13.362333248308069,1.3338261679292673,0_2,3,3,1,1,89.52,36.48,49.01
42,165,13.52804454699031,0.6527429888173458,0_2,5,5,1,1,146.64,36.48,49.01
43,167,12.754157303786764,1.2600892272900672,0_2,7,7,1,1,203.76,36.48,49.01
44,170,14.79272789357646,1.0984238066018865,0_2,10,10,1,2,296.16,36.48,49.01
45,172,13.670930961919316,0.9506474450568101,0_2,12,12,1,2,353.28,36.48,49.01
46,174,12.820405130260802,1.1352709489220503,0_2,14,14,1,2,410.4,36.48,49.01
47,176,14.444635400938417,1.2554453796060647,0_2,16,16,1,2,467.52,36.48,49.01
48,184,11.466017318707634,1.1134008281910532,0_2,24,8,2,1,232.32,65.04,49.01
49,185,12.795081995631461,0.9543405498666878,0_2,25,9,2,2,267.6,65.04,49.01
50,209,10.940525093870681,1.0569154899156255,0_2,49,1,4,1,32.4,122.16,49.01
51,211,11.122252003439336,0.885892489859389,0_2,51,3,4,1,89.52,122.16,49.01
52,213,10.710012869735543,0.9685533221383967,0_2,53,5,4,1,146.64,122.16,49.01
53,215,9.924863232705855,1.3165659256546018,0_2,55,7,4,1,203.76,122.16,49.01
54,218,11.630479354572916,1.0140513003905538,0_2,58,10,4,2,296.16,122.16,49.01
55,220,11.951660784866357,0.6597992425926168,0_2,60,12,4,2,353.28,122.16,49.01
56,222,11.595545464232572,0.6520156828635008,0_2,62,14,4,2,410.4,122.16,49.01
57,224,12.60670963965769,1.272575570532969,0_2,64,16,4,2,467.52,122.16,49.01
58,244,10.712428221222634,0.9173235802031792,0_2,84,4,6,1,118.08,179.28,49.01
59,248,10.511622355952385,0.6800821530399663,0_2,88,8,6,1,232.32,179.28,49.01
60,249,12.052499508719325,0.4618945080926764,0_2,89,9,6,2,267.6,179.28,49.01
61,253,11.371864714220157,0.5145140775404654,0_2,93,13,6,2,381.84,179.28,49.01
62,257,11.56986918947241,0.7296210447642794,0_2,97,1,7,1,32.4,207.84,49.01
63,259,11.358583295270012,0.9518590198683033,0_2,99,3,7,1,89.52,207.84,49.01
64,261,11.14347391342941,0.7379776034593127,0_2,101,5,7,1,146.64,207.84,49.01
65,263,10.426121331765684,1.0139956157211285,0_2,103,7,7,1,203.76,207.84,49.01
66,266,12.085827536958368,0.8968945892421091,0_2,106,10,7,2,296.16,207.84,49.01
67,268,11.909750103668072,0.637736701570501,0_2,108,12,7,2,353.28,207.84,49.01
68,270,11.946266113257426,0.4979392082970677,0_2,110,14,7,2,410.4,207.84,49.01
69,272,13.155539363532245,1.1509724707075912,0_2,112,16,7,2,467.52,207.84,49.01
70,296,10.976066892344795,0.8152481360898045,0_2,136,8,9,1,232.32,264.96,49.01
71,297,12.602348410669821,0.7970766427630975,0_2,137,9,9,2,267.6,264.96,49.01
72,305,14.150952499403004,1.3524881070876968,0_2,145,1,10,1,32.4,293.52,49.01
73,307,12.906860908416665,1.6993423883080625,0_2,147,3,10,1,89.52,293.52,49.01
74,309,13.680857406369103,1.14959380008814,0_2,149,5,10,1,146.64,293.52,49.01
75,311,12.990373351001182,0.9152897045981212,0_2,151,7,10,1,203.76,293.52,49.01
76,314,13.731529197065978,0.9966418071163695,0_2,154,10,10,2,296.16,293.52,49.01
77,316,13.554049907343702,0.8402645106522022,0_2,156,12,10,2,353.28,293.52,49.01
78,318,13.225705191303913,0.8769391086168352,0_2,158,14,10,2,410.4,293.52,49.01
79,320,16.048219447301577,2.131263191705181,0_2,160,16,10,2,467.52,293.52,49.01
